
Exhibit 4. Exports, Imports, and Trade Balance of Goods by Country and Area, Not Seasonally Adjusted: 2018

(X) Not applicable. (-) Represents zero or less than one-half unit of measurement shown.

                                                                                                    111111111111111111111111
         1111111111222222222233333333334444444444555555555566666666667777777777888888888999999999990000000000111111111122222
1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234

                                                                                      Exports
                                            Balance                                 Domestic & Foreign,
                                          (Customs imports)                         F.A.S. basis   
Country                                   February      Year-to-Date  Rank          February      Year-to-Date  Rank
Kyrgyzstan                                         0.7           1.0           179           0.8           1.1           179

Laos                                              11.6          21.2           117          12.0          21.9           116
Latvia                                            24.3         111.2            85          25.4         114.5            85
Lebanon                                            5.8          12.5           128           6.0          12.9           129
Lesotho                                           20.9          51.8           102          21.4          52.9           104
Liberia                                            7.7           8.4           140           7.9           8.7           140
Libya                                              5.7         241.2            71           5.8         248.9            71
Liechtenstein                                     20.2          50.9           104          20.6          51.7           105
Lithuania                                        109.4         277.6            67         113.3         287.2            68
Luxembourg                                        40.7          93.2            87          42.7          96.3            87

Macau                                              5.7          18.7           120           6.0          19.2           120
Macedonia                                         27.4          59.4            97          28.0          60.6            97
Madagascar                                        83.3         179.4            76          84.4         181.6            76
Malawi                                             3.0           6.7           144           3.1           6.9           145
Malaysia                                       3,159.7       6,103.7            15       3,216.3       6,222.2            14
Maldives                                           1.9           5.1           146           2.8           7.4           144
Mali                                               0.4           0.8           184           0.4           0.8           184
Malta                                             12.6          24.3           114          13.0          24.9           115
Marshall Islands                                   1.2           2.1           163           1.4           2.5           161
Martinique                                         0.1           0.4           196           0.1           0.4           198
Mauritania                                         0.5           0.6           191           0.5           0.7           188
Mauritius                                         18.5          42.6           109          19.3          44.2           109
Mayotte                                            0.1           0.1           211           0.1           0.1           211
